"SalesOrderID","OrderDate","DueDate","ShipDate","Status","OnlineOrderFlag","SalesOrderNumber","CustomerID","SalesPersonID","SalesName","StoreID","StoreName","ShipToAddress","CreditCardID","SubTotal","TransportFee","TotalDue"
45028,2011-11-29 00:00:00.000,2011-12-11 00:00:00.000,2011-12-06 00:00:00.000,5,1,SO45028,18702,,  ,,,"280 Plymouth Dr., Coffs Harbour",3802,"3578.2700","89.4568","3953.9884"
43791,2011-06-21 00:00:00.000,2011-07-03 00:00:00.000,2011-06-28 00:00:00.000,5,1,SO43791,16484,,  ,,,"3193 Mehaffey Way, Springwood",2480,"3578.2700","89.4568","3953.9884"
44925,2011-11-16 00:00:00.000,2011-11-28 00:00:00.000,2011-11-23 00:00:00.000,5,1,SO44925,18493,,  ,,,"3543 Lori Dr., Malabar",16924,"3578.2700","89.4568","3953.9884"
46124,2012-03-31 00:00:00.000,2012-04-12 00:00:00.000,2012-04-07 00:00:00.000,5,1,SO46124,20447,,  ,,,"3576 Frigate Ct., Silverwater",2944,"3578.2700","89.4568","3953.9884"
45444,2012-01-15 00:00:00.000,2012-01-27 00:00:00.000,2012-01-22 00:00:00.000,5,1,SO45444,19102,,  ,,,"4681 Holiday Hills, Springwood",15244,"3578.2700","89.4568","3953.9884"
45674,2012-02-12 00:00:00.000,2012-02-24 00:00:00.000,2012-02-19 00:00:00.000,5,1,SO45674,19948,,  ,,,"5914 Overhill Rd, Melbourne",2771,"3578.2700","89.4568","3953.9884"
43963,2011-07-10 00:00:00.000,2011-07-22 00:00:00.000,2011-07-17 00:00:00.000,5,1,SO43963,16685,,  ,,,"3296 Trinity Ave, Port Macquarie",3262,"3578.2700","89.4568","3953.9884"
45956,2012-03-21 00:00:00.000,2012-04-02 00:00:00.000,2012-03-28 00:00:00.000,5,1,SO45956,19979,,  ,,,"209 Richland Dr., Melton",6930,"3578.2700","89.4568","3953.9884"
45716,2012-02-18 00:00:00.000,2012-03-01 00:00:00.000,2012-02-25 00:00:00.000,5,1,SO45716,19783,,  ,,,"2470 Indianhead Circle, Geelong",16541,"3578.2700","89.4568","3953.9884"
44144,2011-08-02 00:00:00.000,2011-08-14 00:00:00.000,2011-08-09 00:00:00.000,5,1,SO44144,17071,,  ,,,"2781 Cresent Dr., North Sydney",9421,"3578.2700","89.4568","3953.9884"
44175,2011-08-08 00:00:00.000,2011-08-20 00:00:00.000,2011-08-15 00:00:00.000,5,1,SO44175,17246,,  ,,,"3537 Pheasant Circle, Coffs Harbour",6910,"3578.2700","89.4568","3953.9884"
45169,2011-12-16 00:00:00.000,2011-12-28 00:00:00.000,2011-12-23 00:00:00.000,5,1,SO45169,18766,,  ,,,"11 Sunrise Drive, Darlinghurst",12945,"3578.2700","89.4568","3953.9884"
44006,2011-07-19 00:00:00.000,2011-07-31 00:00:00.000,2011-07-26 00:00:00.000,5,1,SO44006,16744,,  ,,,"3710 Via Appia, North Ryde",9929,"3578.2700","89.4568","3953.9884"
46152,2012-04-04 00:00:00.000,2012-04-16 00:00:00.000,2012-04-11 00:00:00.000,5,1,SO46152,20424,,  ,,,"6400 St. John Lane, Warrnambool",620,"3578.2700","89.4568","3953.9884"
45949,2012-03-20 00:00:00.000,2012-04-01 00:00:00.000,2012-03-27 00:00:00.000,5,1,SO45949,19970,,  ,,,"6793 Almond Street, Townsville",10796,"3578.2700","89.4568","3953.9884"
45505,2012-01-26 00:00:00.000,2012-02-07 00:00:00.000,2012-02-02 00:00:00.000,5,1,SO45505,19593,,  ,,,"5235 St Paul Way, East Brisbane",18481,"3578.2700","89.4568","3953.9884"
46020,2012-03-29 00:00:00.000,2012-04-10 00:00:00.000,2012-04-05 00:00:00.000,5,1,SO46020,20228,,  ,,,"5643 Palms Dr., Seaford",4491,"3578.2700","89.4568","3953.9884"
45849,2012-03-05 00:00:00.000,2012-03-17 00:00:00.000,2012-03-12 00:00:00.000,5,1,SO45849,20154,,  ,,,"6253 Panorama Dr., Matraville",16740,"3578.2700","89.4568","3953.9884"
44034,2011-07-24 00:00:00.000,2011-08-05 00:00:00.000,2011-07-31 00:00:00.000,5,1,SO44034,16702,,  ,,,"7008 Buckingham Dr., Cranbourne",2390,"3578.2700","89.4568","3953.9884"
45476,2012-01-22 00:00:00.000,2012-02-03 00:00:00.000,2012-01-29 00:00:00.000,5,1,SO45476,19614,,  ,,,"6284 Romero Circle, Townsville",15693,"3578.2700","89.4568","3953.9884"
44194,2011-08-14 00:00:00.000,2011-08-26 00:00:00.000,2011-08-21 00:00:00.000,5,1,SO44194,17064,,  ,,,"8250 11th Avenue, Port Macquarie",16064,"3578.2700","89.4568","3953.9884"
46225,2012-04-14 00:00:00.000,2012-04-26 00:00:00.000,2012-04-21 00:00:00.000,5,1,SO46225,20261,,  ,,,"8257 Almondwood Drive, Gold Coast",14398,"3578.2700","89.4568","3953.9884"
44608,2011-10-07 00:00:00.000,2011-10-19 00:00:00.000,2011-10-14 00:00:00.000,5,1,SO44608,18200,,  ,,,"9430 La Vista Avenue, Port Macquarie",2811,"3578.2700","89.4568","3953.9884"
46461,2012-05-10 00:00:00.000,2012-05-22 00:00:00.000,2012-05-17 00:00:00.000,5,1,SO46461,20821,,  ,,,"7028 Stonedale, Perth",11408,"3578.2700","89.4568","3953.9884"
44916,2011-11-14 00:00:00.000,2011-11-26 00:00:00.000,2011-11-21 00:00:00.000,5,1,SO44916,18463,,  ,,,"8254 North Ridge Drive, Lane Cove",3816,"3578.2700","89.4568","3953.9884"
43947,2011-07-06 00:00:00.000,2011-07-18 00:00:00.000,2011-07-13 00:00:00.000,5,1,SO43947,16712,,  ,,,"7605 Mount Dr., Coffs Harbour",1890,"3578.2700","89.4568","3953.9884"
46415,2012-05-03 00:00:00.000,2012-05-15 00:00:00.000,2012-05-10 00:00:00.000,5,1,SO46415,20819,,  ,,,"8790 Geary Court, Port Macquarie",8599,"3578.2700","89.4568","3953.9884"
45195,2011-12-20 00:00:00.000,2012-01-01 00:00:00.000,2011-12-27 00:00:00.000,5,1,SO45195,18929,,  ,,,"8798 Valley Manor, Perth",,"3578.2700","89.4568","3953.9884"
43977,2011-07-12 00:00:00.000,2011-07-24 00:00:00.000,2011-07-19 00:00:00.000,5,1,SO43977,16703,,  ,,,"8679 Mt. Tamlapais Place, Hobart",6914,"3578.2700","89.4568","3953.9884"
44476,2011-09-29 00:00:00.000,2011-10-11 00:00:00.000,2011-10-06 00:00:00.000,5,1,SO44476,17913,,  ,,,"9846 Golf Club Road, Sunbury",15106,"3578.2700","89.4568","3953.9884"
46243,2012-04-16 00:00:00.000,2012-04-28 00:00:00.000,2012-04-23 00:00:00.000,5,1,SO46243,20613,,  ,,,"9856 Gonzalez Ct., Townsville",11799,"3578.2700","89.4568","3953.9884"
44477,2011-09-29 00:00:00.000,2011-10-11 00:00:00.000,2011-10-06 00:00:00.000,5,1,SO44477,17922,,  ,,,"1431 Rancho View Drive, Lane Cove",5004,"3578.2700","89.4568","3953.9884"
44861,2011-11-07 00:00:00.000,2011-11-19 00:00:00.000,2011-11-14 00:00:00.000,5,1,SO44861,18288,,  ,,,"4845 Lighthouse Way, Goulburn",12168,"3578.2700","89.4568","3953.9884"
43774,2011-06-18 00:00:00.000,2011-06-30 00:00:00.000,2011-06-25 00:00:00.000,5,1,SO43774,16348,,  ,,,"5246 Premier Place, Goulburn",1311,"3578.2700","89.4568","3953.9884"
44635,2011-10-11 00:00:00.000,2011-10-23 00:00:00.000,2011-10-18 00:00:00.000,5,1,SO44635,18218,,  ,,,"6051 Bellows Ct, Wollongong",17513,"3578.2700","89.4568","3953.9884"
44881,2011-11-10 00:00:00.000,2011-11-22 00:00:00.000,2011-11-17 00:00:00.000,5,1,SO44881,18496,,  ,,,"7199 Santa Fe Dr., Hervey Bay",6231,"3578.2700","89.4568","3953.9884"
45019,2011-11-28 00:00:00.000,2011-12-10 00:00:00.000,2011-12-05 00:00:00.000,5,1,SO45019,18691,,  ,,,"7202 Sun View Court, Lane Cove",8409,"3578.2700","89.4568","3953.9884"
44165,2011-08-06 00:00:00.000,2011-08-18 00:00:00.000,2011-08-13 00:00:00.000,5,1,SO44165,17065,,  ,,,"7154 Broadway, Gold Coast",4741,"3578.2700","89.4568","3953.9884"
44372,2011-09-09 00:00:00.000,2011-09-21 00:00:00.000,2011-09-16 00:00:00.000,5,1,SO44372,17736,,  ,,,"8398 Mt. Hood Circle, Melton",18423,"3578.2700","89.4568","3953.9884"
45689,2012-02-14 00:00:00.000,2012-02-26 00:00:00.000,2012-02-21 00:00:00.000,5,1,SO45689,19773,,  ,,,"8403 Roskelley Drive, Gold Coast",13414,"3578.2700","89.4568","3953.9884"
45091,2011-12-03 00:00:00.000,2011-12-15 00:00:00.000,2011-12-10 00:00:00.000,5,1,SO45091,18909,,  ,,,"9189 Shady Ln., Cranbourne",12039,"3578.2700","89.4568","3953.9884"
45772,2012-02-27 00:00:00.000,2012-03-10 00:00:00.000,2012-03-05 00:00:00.000,5,1,SO45772,19785,,  ,,,"9986 El Pintado, Goulburn",16484,"3578.2700","89.4568","3953.9884"
45763,2012-02-25 00:00:00.000,2012-03-08 00:00:00.000,2012-03-03 00:00:00.000,5,1,SO45763,19959,,  ,,,"1028 Indigo Ct., Warrnambool",7015,"3578.2700","89.4568","3953.9884"
44232,2011-08-21 00:00:00.000,2011-09-02 00:00:00.000,2011-08-28 00:00:00.000,5,1,SO44232,17334,,  ,,,"1312 Skycrest Drive, Geelong",9745,"3578.2700","89.4568","3953.9884"
46398,2012-05-01 00:00:00.000,2012-05-13 00:00:00.000,2012-05-08 00:00:00.000,5,1,SO46398,20992,,  ,,,"1343 Prospect St, Gold Coast",9047,"3578.2700","89.4568","3953.9884"
44824,2011-11-02 00:00:00.000,2011-11-14 00:00:00.000,2011-11-09 00:00:00.000,5,1,SO44824,18694,,  ,,,"2460 Tanager Court, Newcastle",621,"3578.2700","89.4568","3953.9884"
44942,2011-11-18 00:00:00.000,2011-11-30 00:00:00.000,2011-11-25 00:00:00.000,5,1,SO44942,18701,,  ,,,"2775 Robinson Ave., Sunbury",13867,"3578.2700","89.4568","3953.9884"
43710,2011-06-02 00:00:00.000,2011-06-14 00:00:00.000,2011-06-09 00:00:00.000,5,1,SO43710,16517,,  ,,,"3196 Peachwillow, Wollongong",5764,"3578.2700","89.4568","3953.9884"
43703,2011-06-01 00:00:00.000,2011-06-13 00:00:00.000,2011-06-08 00:00:00.000,5,1,SO43703,16624,,  ,,,"3541 Corte Poquito, Perth",9497,"3578.2700","89.4568","3953.9884"
44658,2011-10-14 00:00:00.000,2011-10-26 00:00:00.000,2011-10-21 00:00:00.000,5,1,SO44658,18201,,  ,,,"3936 Cedar Point Loop, Port Macquarie",1429,"3578.2700","89.4568","3953.9884"
44992,2011-11-24 00:00:00.000,2011-12-06 00:00:00.000,2011-12-01 00:00:00.000,5,1,SO44992,18464,,  ,,,"4682 Sunset Meadows Ln, Newcastle",2129,"3578.2700","89.4568","3953.9884"
46433,2012-05-06 00:00:00.000,2012-05-18 00:00:00.000,2012-05-13 00:00:00.000,5,1,SO46433,20991,,  ,,,"8032 Gumwood, Warrnambool",13509,"3578.2700","89.4568","3953.9884"
45660,2012-02-10 00:00:00.000,2012-02-22 00:00:00.000,2012-02-17 00:00:00.000,5,1,SO45660,19797,,  ,,,"1726 Chestnut, Melton",9679,"3578.2700","89.4568","3953.9884"
44181,2011-08-09 00:00:00.000,2011-08-21 00:00:00.000,2011-08-16 00:00:00.000,5,1,SO44181,17294,,  ,,,"1773 Royal Palm Lane, Gold Coast",14800,"3578.2700","89.4568","3953.9884"
44357,2011-09-07 00:00:00.000,2011-09-19 00:00:00.000,2011-09-14 00:00:00.000,5,1,SO44357,17511,,  ,,,"2472 Alexander Place, North Sydney",4392,"3578.2700","89.4568","3953.9884"
46217,2012-04-13 00:00:00.000,2012-04-25 00:00:00.000,2012-04-20 00:00:00.000,5,1,SO46217,20614,,  ,,,"2801 San Ramon Road, Newcastle",6166,"3578.2700","89.4568","3953.9884"
43781,2011-06-20 00:00:00.000,2011-07-02 00:00:00.000,2011-06-27 00:00:00.000,5,1,SO43781,16495,,  ,,,"3207 Mario Way, Warrnambool",5269,"3578.2700","89.4568","3953.9884"
43716,2011-06-04 00:00:00.000,2011-06-16 00:00:00.000,2011-06-11 00:00:00.000,5,1,SO43716,16529,,  ,,,"3571 N St., Goulburn",5873,"3578.2700","89.4568","3953.9884"
46215,2012-04-13 00:00:00.000,2012-04-25 00:00:00.000,2012-04-20 00:00:00.000,5,1,SO46215,20429,,  ,,,"3965 Stony Hill Circle, Coffs Harbour",14010,"3578.2700","89.4568","3953.9884"
44205,2011-08-16 00:00:00.000,2011-08-28 00:00:00.000,2011-08-23 00:00:00.000,5,1,SO44205,17285,,  ,,,"4292 Oak Street, Newcastle",17795,"3578.2700","89.4568","3953.9884"
45409,2012-01-10 00:00:00.000,2012-01-22 00:00:00.000,2012-01-17 00:00:00.000,5,1,SO45409,19612,,  ,,,"5064 South Villa Way, Hervey Bay",15624,"3578.2700","89.4568","3953.9884"
45119,2011-12-08 00:00:00.000,2011-12-20 00:00:00.000,2011-12-15 00:00:00.000,5,1,SO45119,18740,,  ,,,"5070 Paraiso Ct, Hobart",13611,"3578.2700","89.4568","3953.9884"
44275,2011-08-30 00:00:00.000,2011-09-11 00:00:00.000,2011-09-06 00:00:00.000,5,1,SO44275,17256,,  ,,,"5522 Roundtree Place, Hobart",9584,"3578.2700","89.4568","3953.9884"
45942,2012-03-19 00:00:00.000,2012-03-31 00:00:00.000,2012-03-26 00:00:00.000,5,1,SO45942,20219,,  ,,,"5938 Greenwood Circle, Caloundra",12024,"3578.2700","89.4568","3953.9884"
44880,2011-11-10 00:00:00.000,2011-11-22 00:00:00.000,2011-11-17 00:00:00.000,5,1,SO44880,18470,,  ,,,"7461 Megan Dr., Melton",2303,"3578.2700","89.4568","3953.9884"
45362,2012-01-03 00:00:00.000,2012-01-15 00:00:00.000,2012-01-10 00:00:00.000,5,1,SO45362,19271,,  ,,,"8267 Lavene Way, Port Macquarie",3210,"3578.2700","89.4568","3953.9884"
45399,2012-01-09 00:00:00.000,2012-01-21 00:00:00.000,2012-01-16 00:00:00.000,5,1,SO45399,19598,,  ,,,"9032 Santa Fe, Sydney",,"3578.2700","89.4568","3953.9884"
46405,2012-05-01 00:00:00.000,2012-05-13 00:00:00.000,2012-05-08 00:00:00.000,5,1,SO46405,20994,,  ,,,"9855 Norse Ct., Caloundra",18623,"3578.2700","89.4568","3953.9884"
45888,2012-03-11 00:00:00.000,2012-03-23 00:00:00.000,2012-03-18 00:00:00.000,5,1,SO45888,20217,,  ,,,"1867 Sahara Drive, Brisbane",1957,"3578.2700","89.4568","3953.9884"
43735,2011-06-09 00:00:00.000,2011-06-21 00:00:00.000,2011-06-16 00:00:00.000,5,1,SO43735,16522,,  ,,,"2190 Rock Creek Way, Caloundra",6526,"3578.2700","89.4568","3953.9884"
43745,2011-06-12 00:00:00.000,2011-06-24 00:00:00.000,2011-06-19 00:00:00.000,5,1,SO43745,16514,,  ,,,"251 Ravenwood Dr., Malabar",9626,"3578.2700","89.4568","3953.9884"
44419,2011-09-17 00:00:00.000,2011-09-29 00:00:00.000,2011-09-24 00:00:00.000,5,1,SO44419,17352,,  ,,,"253 Merry Drive, Perth",14483,"3578.2700","89.4568","3953.9884"
44019,2011-07-21 00:00:00.000,2011-08-02 00:00:00.000,2011-07-28 00:00:00.000,5,1,SO44019,16701,,  ,,,"4428 Jones Rd., North Ryde",16032,"3578.2700","89.4568","3953.9884"
44358,2011-09-07 00:00:00.000,2011-09-19 00:00:00.000,2011-09-14 00:00:00.000,5,1,SO44358,17732,,  ,,,"485 Starlyn Dr., Newcastle",2340,"3578.2700","89.4568","3953.9884"
46540,2012-05-21 00:00:00.000,2012-06-02 00:00:00.000,2012-05-28 00:00:00.000,5,1,SO46540,20822,,  ,,,"1318 Pinehurst Court, Brisbane",3122,"3578.2700","89.4568","3953.9884"
43952,2011-07-07 00:00:00.000,2011-07-19 00:00:00.000,2011-07-14 00:00:00.000,5,1,SO43952,16639,,  ,,,"1767 Holton Court, Melton",5213,"3578.2700","89.4568","3953.9884"
44835,2011-11-04 00:00:00.000,2011-11-16 00:00:00.000,2011-11-11 00:00:00.000,5,1,SO44835,18338,,  ,,,"2461 Orangewood Court, Warrnambool",8511,"3578.2700","89.4568","3953.9884"
44913,2011-11-14 00:00:00.000,2011-11-26 00:00:00.000,2011-11-21 00:00:00.000,5,1,SO44913,18468,,  ,,,"2773 Bonifacio Street, Goulburn",,"3578.2700","89.4568","3953.9884"
45137,2011-12-11 00:00:00.000,2011-12-23 00:00:00.000,2011-12-18 00:00:00.000,5,1,SO45137,18735,,  ,,,"5522 Deer Ridge Way, Cloverdale",10914,"3578.2700","89.4568","3953.9884"
44388,2011-09-11 00:00:00.000,2011-09-23 00:00:00.000,2011-09-18 00:00:00.000,5,1,SO44388,17924,,  ,,,"2516 Beauty St., Sunbury",9943,"3578.2700","89.4568","3953.9884"
43921,2011-07-01 00:00:00.000,2011-07-13 00:00:00.000,2011-07-08 00:00:00.000,5,1,SO43921,16743,,  ,,,"3726 Northridge Drive, Coffs Harbour",1714,"3578.2700","89.4568","3953.9884"
44067,2011-07-30 00:00:00.000,2011-08-11 00:00:00.000,2011-08-06 00:00:00.000,5,1,SO44067,17049,,  ,,,"6029 Camelback Road, Goulburn",13521,"3578.2700","89.4568","3953.9884"
45904,2012-03-14 00:00:00.000,2012-03-26 00:00:00.000,2012-03-21 00:00:00.000,5,1,SO45904,20241,,  ,,,"9182 Newcastle Road, Milsons Point",7596,"3578.2700","89.4568","3953.9884"
45600,2012-01-31 00:00:00.000,2012-02-12 00:00:00.000,2012-02-07 00:00:00.000,5,1,SO45600,19628,,  ,,,"9959 Edwards Ave., Warrnambool",8114,"3578.2700","89.4568","3953.9884"
43992,2011-07-15 00:00:00.000,2011-07-27 00:00:00.000,2011-07-22 00:00:00.000,5,1,SO43992,16638,,  ,,,"4921 St. Geemain Lane, Springwood",755,"3578.2700","89.4568","3953.9884"
45466,2012-01-21 00:00:00.000,2012-02-02 00:00:00.000,2012-01-28 00:00:00.000,5,1,SO45466,19611,,  ,,,"5302 Argonne Drive, Coffs Harbour",16056,"3578.2700","89.4568","3953.9884"
45479,2012-01-23 00:00:00.000,2012-02-04 00:00:00.000,2012-01-30 00:00:00.000,5,1,SO45479,19099,,  ,,,"984 Talbart St., St. Leonards",13350,"3578.2700","89.4568","3953.9884"
45166,2011-12-16 00:00:00.000,2011-12-28 00:00:00.000,2011-12-23 00:00:00.000,5,1,SO45166,19083,,  ,,,"8036 Weaver Lane, Melton",7859,"3578.2700","89.4568","3953.9884"
44391,2011-09-11 00:00:00.000,2011-09-23 00:00:00.000,2011-09-18 00:00:00.000,5,1,SO44391,17730,,  ,,,"8831 Versailles Pl., Geelong",11782,"3578.2700","89.4568","3953.9884"
45418,2012-01-11 00:00:00.000,2012-01-23 00:00:00.000,2012-01-18 00:00:00.000,5,1,SO45418,19264,,  ,,,"9574 Bancroft Road, Sunbury",5721,"3578.2700","89.4568","3953.9884"
45167,2011-12-16 00:00:00.000,2011-12-28 00:00:00.000,2011-12-23 00:00:00.000,5,1,SO45167,18706,,  ,,,"995 Roundtree Place, Goulburn",8980,"3578.2700","89.4568","3953.9884"
44869,2011-11-08 00:00:00.000,2011-11-20 00:00:00.000,2011-11-15 00:00:00.000,5,1,SO44869,18700,,  ,,,"1162 Relief Valley Ct, Seaford",12819,"3578.2700","89.4568","3953.9884"
43945,2011-07-06 00:00:00.000,2011-07-18 00:00:00.000,2011-07-13 00:00:00.000,5,1,SO43945,16675,,  ,,,"1515 Tuolumne St., Matraville",4559,"3578.2700","89.4568","3953.9884"
45823,2012-03-01 00:00:00.000,2012-03-13 00:00:00.000,2012-03-08 00:00:00.000,5,1,SO45823,20253,,  ,,,"2282 Nulty Dr, Cloverdale",11229,"3578.2700","89.4568","3953.9884"
44036,2011-07-24 00:00:00.000,2011-08-05 00:00:00.000,2011-07-31 00:00:00.000,5,1,SO44036,17046,,  ,,,"4091 Hill Meadow Pl., Newcastle",2190,"3578.2700","89.4568","3953.9884"
44024,2011-07-22 00:00:00.000,2011-08-03 00:00:00.000,2011-07-29 00:00:00.000,5,1,SO44024,16663,,  ,,,"4487 Coldwater Drive, Geelong",3976,"3578.2700","89.4568","3953.9884"
44222,2011-08-19 00:00:00.000,2011-08-31 00:00:00.000,2011-08-26 00:00:00.000,5,1,SO44222,17258,,  ,,,"1583 Blackridge Drive, Melbourne",14111,"3578.2700","89.4568","3953.9884"
44860,2011-11-07 00:00:00.000,2011-11-19 00:00:00.000,2011-11-14 00:00:00.000,5,1,SO44860,18693,,  ,,,"1592 Working Drive, Caloundra",16246,"3578.2700","89.4568","3953.9884"
43942,2011-07-06 00:00:00.000,2011-07-18 00:00:00.000,2011-07-13 00:00:00.000,5,1,SO43942,17051,,  ,,,"230 Daisy Way, Brisbane",19065,"3578.2700","89.4568","3953.9884"
45494,2012-01-25 00:00:00.000,2012-02-06 00:00:00.000,2012-02-01 00:00:00.000,5,1,SO45494,19609,,  ,,,"3416 Ravenwood Drive, Geelong",9375,"3578.2700","89.4568","3953.9884"
44898,2011-11-12 00:00:00.000,2011-11-24 00:00:00.000,2011-11-19 00:00:00.000,5,1,SO44898,18307,,  ,,,"3425 El Verano, Goulburn",,"3578.2700","89.4568","3953.9884"
46518,2012-05-18 00:00:00.000,2012-05-30 00:00:00.000,2012-05-25 00:00:00.000,5,1,SO46518,20814,,  ,,,"4554 Bates Court, Matraville",1194,"3578.2700","89.4568","3953.9884"
45110,2011-12-07 00:00:00.000,2011-12-19 00:00:00.000,2011-12-14 00:00:00.000,5,1,SO45110,18710,,  ,,,"1454 Colton Ln, St. Leonards",12268,"3578.2700","89.4568","3953.9884"
45154,2011-12-14 00:00:00.000,2011-12-26 00:00:00.000,2011-12-21 00:00:00.000,5,1,SO45154,18767,,  ,,,"1455 Fountain Road, Hervey Bay",1608,"3578.2700","89.4568","3953.9884"
45982,2012-03-25 00:00:00.000,2012-04-06 00:00:00.000,2012-04-01 00:00:00.000,5,1,SO45982,19977,,  ,,,"1833 Worth Ct, Findon",19089,"3578.2700","89.4568","3953.9884"
45773,2012-02-27 00:00:00.000,2012-03-10 00:00:00.000,2012-03-05 00:00:00.000,5,1,SO45773,19949,,  ,,,"2151 Twincreek Ct, North Ryde",2554,"3578.2700","89.4568","3953.9884"
44041,2011-07-25 00:00:00.000,2011-08-06 00:00:00.000,2011-08-01 00:00:00.000,5,1,SO44041,16742,,  ,,,"2159 Barbie Dr., Wollongong",10308,"3578.2700","89.4568","3953.9884"
44806,2011-10-31 00:00:00.000,2011-11-12 00:00:00.000,2011-11-07 00:00:00.000,5,1,SO44806,18452,,  ,,,"329 Shelly Dr, Bendigo",12811,"3578.2700","89.4568","3953.9884"
45020,2011-11-28 00:00:00.000,2011-12-10 00:00:00.000,2011-12-05 00:00:00.000,5,1,SO45020,18332,,  ,,,"408 Listing Ct., Cranbourne",6959,"3578.2700","89.4568","3953.9884"
45236,2011-12-27 00:00:00.000,2012-01-08 00:00:00.000,2012-01-03 00:00:00.000,5,1,SO45236,18731,,  ,,,"6679 Cornelius Dr, Darlinghurst",6737,"3578.2700","89.4568","3953.9884"
45085,2011-12-02 00:00:00.000,2011-12-14 00:00:00.000,2011-12-09 00:00:00.000,5,1,SO45085,18746,,  ,,,"7435 Ricardo, Melton",12749,"3578.2700","89.4568","3953.9884"
